年,自有發電,購電,民營燃煤,民營燃氣,民營再生能源,汽電共生,台電系統
71,40427,472,0,0,472,0,40899
72,44959,558,0,0,558,0,45517
73,48713,573,0,0,573,0,49286
74,51916,640,0,0,640,0,52556
75,58326,705,0,0,705,0,59031
76,64706,808,0,0,808,0,65515
77,70942,699,0,0,699,0,71641
78,76041,868,0,0,868,0,76909
79,80985,1365,0,0,1087,278,82350
80,88417,1223,0,0,712,511,89639
81,91878,2007,0,0,977,1030,93885
82,99855,1929,0,0,663,1266,101784
83,108161,2116,0,0,820,1295,110276
84,114970,2889,0,0,728,2161,117859
85,121314,3659,0,0,691,2968,124973
86,128226,4022,0,0,914,3108,132248
87,138656,4308,0,0,1008,3300,142964
88,137661,8101,3441,58,803,3799,145761
89,138156,18355,8654,567,989,8145,156511
90,135439,22620,12360,1256,907,8096,158058
91,134784,31117,16914,5224,569,8411,165901
92,135721,38089,21171,6192,437,10289,173810
93,133797,47448,19657,14239,555,12996,181245
94,140482,49181,20600,15113,714,12754,189663
95,148851,47716,20800,14278,3025,9613,196567
96,153475,48381,20742,14665,3466,9508,201856
97,154544,45697,19937,14761,3481,7517,200241
98,143361,50244,22286,15384,3512,9063,193605
99,157792,49593,22463,16382,3602,7145,207385
100,162589,50453,21676,17882,4033,6862,213042
101,165323,46385,22141,15196,4212,4836,211708
102,164194,49235,21474,16048,4446,7267,213429
103,169058,50165,21524,17181,4457,7004,219224
104,169061,50043,21163,17849,4799,6232,219104
105,174043,51750,21371,19048,5411,5919,225793
106,180488,50592,20996,19486,5973,4137,231080
107,182662,50627,19683,19199,7097,4648,233289
108,180443,52029,19318,20037,8525,4150,232472
109,183873,55056,20784,19807,10362,4102,238928
110,189136,59671,18925,23735,11881,5131,248808
111,188255,62494,19442,24303,15312,3438,250749